респондент,версия дерева,задача,время,кол-во кликов,финальная глубина,прямой путь,правильность,как часто пользуется этой функций,текст задачи,выбранный элемент,момент завершения
120601161,1,1,"39,664",18,2,0,0,"Не пользовался, потому что не знал, что она есть","Найдите раздел, где вы можете внести сведения о сделанной прививке или перенесённом заболевании.",Перейти в профиль,2022-09-14 23:04:13.984
346105239,1,1,"33,584",6,3,0,1,Периодически пользуюсь,"Найдите раздел, где вы можете внести сведения о сделанной прививке или перенесённом заболевании.",Мое здоровье,2022-09-15 13:42:10.076
136737116,3,1,"46,42",12,3,0,1,Периодически пользуюсь,"Найдите раздел, где вы можете внести сведения о сделанной прививке или перенесённом заболевании.",Мое здоровье,2022-09-15 12:47:19.170
1079262788,3,1,"73,945",8,3,0,1,Пользовался буквально 1-2 раза,"Найдите раздел, где вы можете внести сведения о сделанной прививке или перенесённом заболевании.",Мое здоровье,2022-09-14 11:41:40.654
1331664554,3,1,"43,816",14,3,0,1,Периодически пользуюсь,"Найдите раздел, где вы можете внести сведения о сделанной прививке или перенесённом заболевании.",Мое здоровье,2022-09-14 16:43:21.300
1678505921,3,1,"25,673",4,3,1,1,Пользовался буквально 1-2 раза,"Найдите раздел, где вы можете внести сведения о сделанной прививке или перенесённом заболевании.",Мое здоровье,2022-09-13 10:57:32.667
2106871247,3,1,"33,24",4,3,1,1,"Нет, никогда не было необходимости","Найдите раздел, где вы можете внести сведения о сделанной прививке или перенесённом заболевании.",Мое здоровье,2022-09-13 09:22:05.041
80518563,1,2,"21,108",5,2,0,1,Периодически пользуюсь,"Вы собираетесь в командировку. Найдите раздел, где вы можете внесите данные о ней.",Командировки,2022-09-14 16:53:20.540
406483506,1,2,"13,258",4,3,1,1,Пользовался буквально 1-2 раза,"Вы собираетесь в командировку. Найдите раздел, где вы можете внесите данные о ней.",Командировки,2022-09-14 11:09:58.515
1234629939,1,2,"13,018",12,3,0,1,"Нет, никогда не было необходимости","Вы собираетесь в командировку. Найдите раздел, где вы можете внесите данные о ней.",Командировки,2022-09-15 10:39:01.140
514305190,2,2,"57,053",16,3,0,1,"Не пользовался, потому что не знал, где её найти","Вы собираетесь в командировку. Найдите раздел, где вы можете внесите данные о ней.",Командировки,2022-09-15 08:43:41.735
752610895,2,2,"33,962",8,3,0,1,"Нет, никогда не было необходимости","Вы собираетесь в командировку. Найдите раздел, где вы можете внесите данные о ней.",Командировки,2022-09-14 17:15:49.361
1245622492,2,2,"12,024",6,3,0,1,"Нет, никогда не было необходимости","Вы собираетесь в командировку. Найдите раздел, где вы можете внесите данные о ней.",Командировки,2022-09-14 17:22:41.950
967175072,3,2,"10,966",4,3,1,1,"Нет, никогда не было необходимости","Вы собираетесь в командировку. Найдите раздел, где вы можете внесите данные о ней.",Командировки,2022-09-14 17:23:33.859
1547343902,3,2,"33,69",10,3,0,1,"Нет, никогда не было необходимости","Вы собираетесь в командировку. Найдите раздел, где вы можете внесите данные о ней.",Командировки,2022-09-15 12:19:06.002
575796873,1,3,"34,201",4,3,1,1,Периодически пользуюсь,"Вы хотите оформить себе отпуск, где бы вы это сделали?",Отпуск,2022-09-14 17:13:22.583
693278016,1,3,"7,367",4,3,1,1,"Нет, никогда не было необходимости","Вы хотите оформить себе отпуск, где бы вы это сделали?",Отпуск,2022-09-14 17:12:50.631
139670491,2,3,"10,619",4,3,1,1,"Нет, никогда не было необходимости","Вы хотите оформить себе отпуск, где бы вы это сделали?",Отпуск,2022-09-15 10:56:08.698
1515721666,2,3,"26,021",6,3,0,1,Постоянно пользуюсь,"Вы хотите оформить себе отпуск, где бы вы это сделали?",Отпуск,2022-09-13 12:06:25.264
324394268,3,3,"16,979",4,3,1,1,Пользовался буквально 1-2 раза,"Вы хотите оформить себе отпуск, где бы вы это сделали?",Отпуск,2022-09-14 20:11:22.306
565110659,3,3,"9,831",4,3,1,1,"Нет, никогда не было необходимости","Вы хотите оформить себе отпуск, где бы вы это сделали?",Отпуск,2022-09-15 13:17:37.280
346105239,1,4,"55,304",5,2,0,0,Пользовался буквально 1-2 раза,"Найдите раздел, где располагаются приказы о деятельности университета",Деловые регламенты,2022-09-15 13:39:46.263
930633306,1,4,"18,198",5,2,0,1,Пользовался буквально 1-2 раза,"Найдите раздел, где располагаются приказы о деятельности университета",Документооборот,2022-09-15 15:54:52.345
205165486,2,4,"39,666",5,2,0,0,"Нет, никогда не было необходимости","Найдите раздел, где располагаются приказы о деятельности университета",Программа развития ИТМО 2030,2022-09-13 12:07:42.812
1206334471,2,4,"45,116",11,2,0,0,"Нет, никогда не было необходимости","Найдите раздел, где располагаются приказы о деятельности университета",Подразделения,2022-09-14 15:55:46.003
1297263133,2,4,"41,992",12,3,0,1,Пользовался буквально 1-2 раза,"Найдите раздел, где располагаются приказы о деятельности университета",Документооборот,2022-09-14 16:38:10.152
1559042383,2,4,"17,77",4,3,1,1,Периодически пользуюсь,"Найдите раздел, где располагаются приказы о деятельности университета",Документооборот,2022-09-14 16:39:14.704
1932516997,2,4,"32,243",3,2,1,0,Пользовался буквально 1-2 раза,"Найдите раздел, где располагаются приказы о деятельности университета",Ректорат,2022-09-15 00:25:48.248
160220225,3,4,"98,738",5,2,0,0,Периодически пользуюсь,"Найдите раздел, где располагаются приказы о деятельности университета",Регламенты и инструкции,2022-09-14 17:05:17.598
777356834,3,4,"75,526",3,2,1,0,Постоянно пользуюсь,"Найдите раздел, где располагаются приказы о деятельности университета",ITMO.Library,2022-09-14 17:01:45.043
781822250,3,4,"186,328",12,3,0,1,Периодически пользуюсь,"Найдите раздел, где располагаются приказы о деятельности университета",Документооборот,2022-09-14 16:53:41.507
319172790,1,5,"27,856",5,2,0,0,"Не пользовался, потому что не знал, где её найти",Вы хотите оформить себе расширенный полис добровольного медицинского страхования. В какой раздел обратитесь?,Перейти в профиль,2022-09-14 16:15:25.825
406483506,1,5,"21,36",4,3,1,1,Пользовался буквально 1-2 раза,Вы хотите оформить себе расширенный полис добровольного медицинского страхования. В какой раздел обратитесь?,Полис ДМС,2022-09-14 11:09:44.091
470360253,1,5,"88,818",4,3,1,1,Пользовался буквально 1-2 раза,Вы хотите оформить себе расширенный полис добровольного медицинского страхования. В какой раздел обратитесь?,Полис ДМС,2022-09-15 17:49:46.572
1215873495,1,5,"20,673",4,3,1,1,"Нет, никогда не было необходимости",Вы хотите оформить себе расширенный полис добровольного медицинского страхования. В какой раздел обратитесь?,Полис ДМС,2022-09-14 17:03:34.161
139670491,2,5,"11,669",4,3,1,1,"Нет, никогда не было необходимости",Вы хотите оформить себе расширенный полис добровольного медицинского страхования. В какой раздел обратитесь?,Полис ДМС,2022-09-15 10:56:42.316
228071347,2,5,"27,674",6,3,0,1,"Не пользовался, потому что не знал, что она есть",Вы хотите оформить себе расширенный полис добровольного медицинского страхования. В какой раздел обратитесь?,Полис ДМС,2022-09-14 17:05:29.629
1515721666,2,5,"15,514",4,3,1,1,Пользовался буквально 1-2 раза,Вы хотите оформить себе расширенный полис добровольного медицинского страхования. В какой раздел обратитесь?,Полис ДМС,2022-09-13 12:08:05.665
967175072,3,5,"84,386",16,3,0,1,"Нет, никогда не было необходимости",Вы хотите оформить себе расширенный полис добровольного медицинского страхования. В какой раздел обратитесь?,Полис ДМС,2022-09-14 17:22:06.164
1221178884,1,6,"58,37",4,3,1,1,Пользовался буквально 1-2 раза,"Вы опубликовали статью в высокорейтинговом журнале, такие публикации материально поощряются. В каком разделе вы запросите выплату за эту публикацию?",Стимулирующие выплаты,2022-09-14 12:39:20.528
1989304989,1,6,"25,674",4,3,1,0,"Нет, никогда не было необходимости","Вы опубликовали статью в высокорейтинговом журнале, такие публикации материально поощряются. В каком разделе вы запросите выплату за эту публикацию?",Публикации,2022-09-14 16:43:51.498
1999747662,1,6,"84,583",9,2,0,0,"Нет, никогда не было необходимости","Вы опубликовали статью в высокорейтинговом журнале, такие публикации материально поощряются. В каком разделе вы запросите выплату за эту публикацию?",Навигатор,2022-09-14 16:08:08.855
28839841,2,6,"80,642",6,3,0,1,Пользовался буквально 1-2 раза,"Вы опубликовали статью в высокорейтинговом журнале, такие публикации материально поощряются. В каком разделе вы запросите выплату за эту публикацию?",Стимулирующие выплаты,2022-09-15 07:38:15.626
228071347,2,6,"69,467",23,4,0,0,"Не пользовался, потому что не знал, что она есть","Вы опубликовали статью в высокорейтинговом журнале, такие публикации материально поощряются. В каком разделе вы запросите выплату за эту публикацию?",Инструкции авторам,2022-09-14 17:05:01.008
1613399123,3,6,"19,741",6,3,0,0,"Нет, никогда не было необходимости","Вы опубликовали статью в высокорейтинговом журнале, такие публикации материально поощряются. В каком разделе вы запросите выплату за эту публикацию?",Отчёты,2022-09-14 20:46:42.856
1657320995,3,6,"31,882",6,3,0,0,"Нет, никогда не было необходимости","Вы опубликовали статью в высокорейтинговом журнале, такие публикации материально поощряются. В каком разделе вы запросите выплату за эту публикацию?",Публикации,2022-09-13 13:05:27.653
1701240371,3,6,"36,309",6,3,0,1,"Не пользовался, потому что не знал, где её найти","Вы опубликовали статью в высокорейтинговом журнале, такие публикации материально поощряются. В каком разделе вы запросите выплату за эту публикацию?",Стимулирующие выплаты,2022-09-14 15:52:50.490
1712799800,3,6,"47,488",12,3,0,0,"Нет, никогда не было необходимости","Вы опубликовали статью в высокорейтинговом журнале, такие публикации материально поощряются. В каком разделе вы запросите выплату за эту публикацию?",Результаты интеллектуальной деятельности,2022-09-14 16:45:43.499
446341758,1,7,"18,473",4,3,1,1,Пользовался буквально 1-2 раза,"Вы пользуетесь бумажной трудовой книжкой, и хотите перейти на электронную. В какой раздел зайдёте?",Электронная трудовая книжка,2022-09-14 09:38:53.361
